Skill Name,Salary Premium,Skill Frequency,Averege job postings duration (days),Difficulty to fill in the market,Difficulty,GROWTH PROJECTION 
Neuroimaging,25607.773134,0.01%,31.079032,3.16%,Medium difficulty to fill,-1.31%
Hydrodesulfurization,46732.767933,0.00%,28.730015,5.30%,Medium difficulty to fill,-19.56%
Noninvasive Blood Pressure Amplifier (NIBP),69947.470225,0.00%,30.349593,8.41%,High difficulty to fill,-15.62%
Reinforcement Learning,89471.584099,0.01%,27.320025,9.61%,High difficulty to fill,13.31%
Metro Ethernet,30209.657267,0.00%,27.405284,3.26%,Medium difficulty to fill,-15.06%
Global Mapper,21538.350565,0.00%,30.590164,2.61%,Low difficulty to fill,3.64%
Diffusion Furnaces,16297.074909,0.00%,31.540984,2.04%,Low difficulty to fill,0.00%
Product Classification,19914.205574,0.00%,29.090734,2.29%,Low difficulty to fill,6.82%
Registration Authority,32366.566041,0.00%,30.049751,3.85%,Medium difficulty to fill,-19.05%
Promulgation,36138.936369,0.01%,29.221222,4.17%,Medium difficulty to fill,0.70%
WebMethods,62560.482914,0.00%,26.224739,6.43%,High difficulty to fill,-21.16%
Craniofacial Surgery,37569.720799,0.00%,32.109091,4.80%,Medium difficulty to fill,-10.00%
Order Corrections,0,0.00%,28.938438,0.00%,Low difficulty to fill,3.45%
Inlay,0,0.00%,29.935252,0.00%,Low difficulty to fill,0.00%
Path Finding,92808.399835,0.00%,25.331081,9.19%,High difficulty to fill,-20.00%
Management Auditing,37332.247617,0.01%,29.820585,4.41%,Medium difficulty to fill,3.15%
Voltage Regulator,21813.699483,0.01%,28.357971,2.44%,Low difficulty to fill,5.78%
Autodesk MotionBuilder,47723.470075,0.00%,28.822064,5.43%,Medium difficulty to fill,6.25%
Teleconferencing,8322.215843,0.00%,30.462403,1.01%,Low difficulty to fill,-0.66%
Telephone Consumer Protection Act (TCPA),32524.380747,0.01%,31.46844,4.07%,Medium difficulty to fill,-1.25%
Abiotic Stress Resistance,17273.805549,0.00%,34.197917,2.36%,Low difficulty to fill,0.00%
Capital Asset Pricing Models,67507.112872,0.00%,30.396552,8.13%,High difficulty to fill,-25.00%
Compensation Benchmarking,48795.13378,0.00%,31.407334,6.09%,High difficulty to fill,6.41%
Polyspace,40618.713928,0.00%,27.158654,4.34%,Medium difficulty to fill,-36.36%
Traffic Design,26725.313879,0.00%,31.248402,3.32%,Medium difficulty to fill,-8.05%
Paint Stripper,0,0.00%,32.355623,0.00%,Low difficulty to fill,-2.70%
Total Internal Reflection Fluorescence Microscope,19415.25846,0.00%,31.364486,2.42%,Low difficulty to fill,0.00%
Computer Clusters,49612.976212,0.00%,27.742872,5.42%,Medium difficulty to fill,0.00%
Audio Engineering,10530.973187,0.01%,30.816191,1.29%,Low difficulty to fill,-2.67%
Osmolality,5890.820568,0.00%,30.193878,0.70%,Low difficulty to fill,11.63%
HUD-VASH (Veteran Affairs Supportive Housing),28473.804811,0.00%,29.546296,3.33%,Medium difficulty to fill,3.12%
Java Object Oriented Querying,62986.108342,0.00%,24.599178,6.04%,High difficulty to fill,-17.24%
Epifluorescence,4764.037872,0.00%,31.41791,0.59%,Low difficulty to fill,7.14%
Basic Offshore Safety Induction And Emergency Training (BOSIET),10661.955195,0.00%,29.508861,1.24%,Low difficulty to fill,-41.18%
Bulk Density,0,0.00%,28.766537,0.00%,Low difficulty to fill,0.00%
Dry Rot,0,0.00%,35.60477,0.00%,Low difficulty to fill,-14.29%
Stress Engineering,53378.298076,0.00%,27.797903,5.84%,High difficulty to fill,-8.79%
Mathematical Programming,65304.583104,0.00%,29.944773,7.74%,High difficulty to fill,-12.16%
International Marketing,40829.217656,0.01%,30.220553,4.89%,Medium difficulty to fill,2.83%
Web Usability,28635.317784,0.00%,28.91939,3.27%,Medium difficulty to fill,-2.90%
Scientific Data Archiving,39265.089459,0.01%,30.044674,4.67%,Medium difficulty to fill,1.49%
LightTools (Optical Design Software),94119.984181,0.00%,28.82153,10.71%,High difficulty to fill,0.00%
Randomized Controlled Trial,30419.079539,0.00%,31.113139,3.76%,Medium difficulty to fill,12.50%
Power-System Automation,45223.589759,0.00%,29.840764,5.34%,Medium difficulty to fill,6.49%
Cinematography,11375.578341,0.00%,31.7203,1.43%,Low difficulty to fill,-2.37%
Legal Citations,0,0.00%,30.770629,0.00%,Low difficulty to fill,-8.64%
Stepper Motor,27802.824313,0.00%,30.37055,3.35%,Medium difficulty to fill,-9.68%
Electric Vehicle (EV) Installation,21899.925872,0.00%,29.592105,2.56%,Low difficulty to fill,-25.00%
Heat-Lamp Stimulation,0,0.00%,34.107143,0.00%,Low difficulty to fill,-33.33%
Domino XML Language,64509.284681,0.00%,28.275556,7.19%,High difficulty to fill,-3.12%
Bumpers (Installation And Repair),0,0.00%,30.661142,0.00%,Low difficulty to fill,-10.71%
Java Security,65982.610826,0.00%,23.87858,6.13%,High difficulty to fill,-26.98%
Necrotizing Fasciitis,44383.930489,0.00%,28.433566,4.98%,Medium difficulty to fill,9.09%
Limelight,0,0.00%,32.128763,0.00%,Low difficulty to fill,-33.33%
Synchronous Learning,21253.135965,0.00%,30.381651,2.56%,Low difficulty to fill,-4.88%
Cardiac Valve Repair,49050.210574,0.00%,29.786598,5.78%,High difficulty to fill,-1.75%
Varicent (Software),45767.445001,0.00%,28.591224,5.16%,Medium difficulty to fill,-21.67%
Coastal Engineering,31105.02884,0.00%,31.818072,3.94%,Medium difficulty to fill,6.74%
Cytogenetics,22108.169764,0.01%,30.648148,2.69%,Low difficulty to fill,-3.81%
Transient Expression,28925.086652,0.00%,27.59375,3.14%,Medium difficulty to fill,-16.67%
Lightcast (Software),19199.295448,0.00%,35.1875,2.70%,Low difficulty to fill,13.33%
Sports Analytics,52687.781462,0.00%,29.355556,6.12%,High difficulty to fill,12.50%
Aircraft Weapons,39916.196108,0.00%,28.153686,4.43%,Medium difficulty to fill,2.40%
Section Drawings,18434.655104,0.00%,29.454448,2.15%,Low difficulty to fill,-0.74%
Employee Consultation,4718.302158,0.00%,34.641221,0.65%,Low difficulty to fill,-10.00%
IBM SQL/DS,44347.774714,0.00%,17.688525,2.95%,Medium difficulty to fill,-50.00%
Shapefile,14064.86269,0.00%,29.210191,1.62%,Low difficulty to fill,7.14%
Laptop Troubleshooting,0,0.00%,27.168865,0.00%,Low difficulty to fill,7.50%
Dedoose (Qualitative Data Analysis Software),10167.387538,0.00%,30.739669,1.24%,Low difficulty to fill,0.00%
Teamsite,30652.623894,0.00%,27.581717,3.33%,Medium difficulty to fill,-11.11%
Jewelry Design,0,0.00%,32.064865,0.00%,Low difficulty to fill,-6.45%
Wear OS,95237.349799,0.00%,30.157407,11.38%,High difficulty to fill,0.00%
IT Asset Disposition (ITAD),0,0.00%,28.817369,0.00%,Low difficulty to fill,3.57%
Digital Preservation,5569.53012,0.00%,32.502825,0.72%,Low difficulty to fill,0.00%
Andover Controls (Building Automation System),5478.173674,0.00%,33.084746,0.72%,Low difficulty to fill,-100.00%
Remote Access Service,29749.138329,0.00%,29.227315,3.44%,Medium difficulty to fill,1.37%
Accounts Payable Automation,15820.884681,0.00%,31.600559,1.99%,Low difficulty to fill,-20.83%
ADP SmartCompliance,10371.727281,0.00%,30.004296,1.23%,Low difficulty to fill,7.23%
Subsidies,0,0.00%,33.632979,0.00%,Low difficulty to fill,4.76%
Uranium,27223.233173,0.00%,29.432836,3.17%,Medium difficulty to fill,2.56%
X86 Assembly Languages,66674.027419,0.00%,28.504823,7.50%,High difficulty to fill,-12.50%
Develop Business Management,0,0.00%,35.836066,0.00%,Low difficulty to fill,0.00%
ISO 14064,31389.454539,0.00%,33.81203,4.24%,Medium difficulty to fill,12.50%
Oracle Unified Directory (OUD),79443.782365,0.00%,23.958333,7.40%,High difficulty to fill,-7.14%
Water Safety Instruction,0,0.00%,31.52381,0.00%,Low difficulty to fill,12.77%
Batch Reconciliation,0,0.00%,31.361522,0.00%,Low difficulty to fill,0.00%
Biblical Hebrew,15504.492417,0.00%,33.722222,2.09%,Low difficulty to fill,0.00%
Mayan Language,7907.127044,0.00%,31.903509,1.00%,Low difficulty to fill,0.00%
Tympanometry,29859.299876,0.00%,30.383731,3.60%,Medium difficulty to fill,4.58%
Telangiectasias,58164.127692,0.00%,29.812207,6.86%,High difficulty to fill,2.94%
Rotary Engine,1709.98524,0.00%,29.892857,0.20%,Low difficulty to fill,0.00%
Auto Layout,68755.039942,0.00%,26.208388,7.06%,High difficulty to fill,-12.00%
Acute Medicine,51179.744176,0.00%,28.27949,5.71%,High difficulty to fill,5.26%
Water Injection,3792.91129,0.00%,30.622172,0.46%,Low difficulty to fill,0.00%
Volume Testing,52294.716443,0.00%,24.598131,5.01%,Medium difficulty to fill,-20.00%
Zapier,6557.628707,0.00%,30.321127,0.79%,Low difficulty to fill,12.12%
Credit Defaults,59554.139913,0.00%,27.141304,6.35%,High difficulty to fill,0.00%
Bullhorn (Software),7713.470621,0.00%,28.101695,0.85%,Low difficulty to fill,-100.00%
Vertical Farming,10161.832515,0.00%,31.956522,1.29%,Low difficulty to fill,-20.00%
Sapb1,4618.50846,0.00%,32.820513,0.60%,Low difficulty to fill,-25.00%
Stall (Enclosure),0,0.00%,34.730496,0.00%,Low difficulty to fill,18.18%
Law Practice Management,7127.636802,0.00%,31.05314,0.88%,Low difficulty to fill,-5.26%
Java Collections Framework,60209.009835,0.00%,24.910128,5.85%,High difficulty to fill,-23.53%
Epidemiological Method,27271.689973,0.00%,29.929825,3.23%,Medium difficulty to fill,-6.82%
Apple Watch,65080.145266,0.00%,26.87234,6.87%,High difficulty to fill,-18.18%
Phases Of Clinical Research,85359.666077,0.00%,32.56,11.07%,High difficulty to fill,-12.96%
Magik,34065.576334,0.00%,24.631579,3.27%,Medium difficulty to fill,-50.00%
Scalability Testing,65138.558083,0.00%,31.69637,8.21%,High difficulty to fill,18.52%
Assisted Reproductive Technology,25799.291635,0.00%,32.254083,3.31%,Medium difficulty to fill,-7.02%
Enhanced Versatile Disc,42261.94379,0.00%,30.573611,5.12%,Medium difficulty to fill,1.18%
DermalogiCA,6068.924612,0.00%,34.495968,0.84%,Low difficulty to fill,-13.33%
Apache Ranger,109798.461713,0.00%,25.152263,10.79%,High difficulty to fill,0.00%
Equity Capital Markets,110392.465024,0.00%,30.903481,13.54%,High difficulty to fill,10.00%
Collection Development,867.208073,0.01%,32.498782,0.11%,Low difficulty to fill,0.00%
Animal Health,0,0.07%,31.039759,0.00%,Low difficulty to fill,4.57%
OSIsoft,48503.916325,0.00%,29.241925,5.61%,High difficulty to fill,1.75%
Heat Exchanger,7963.408233,0.03%,30.064918,0.95%,Low difficulty to fill,-1.13%
Hyperthermia,18023.851537,0.00%,30.509363,2.18%,Low difficulty to fill,-5.26%
Aerodynamics,54878.144399,0.01%,29.366183,6.37%,High difficulty to fill,2.25%
ClickHouse DBMS,113544.653257,0.00%,28.294423,12.67%,High difficulty to fill,2.17%
Markup Languages,36900.461071,0.01%,26.635863,3.86%,Medium difficulty to fill,2.86%
Animal Nutrition,5390.122089,0.01%,31.34487,0.67%,Low difficulty to fill,-6.80%
IronPort,57993.994801,0.00%,25.681013,5.83%,High difficulty to fill,-12.50%
Retail Experience,8217.283848,0.01%,28.77673,0.93%,Low difficulty to fill,-14.10%
Collateral Valuation,42322.34762,0.00%,30.538553,5.13%,Medium difficulty to fill,2.44%
Aerial Cable,0,0.00%,32.055701,0.00%,Low difficulty to fill,-0.68%
Client Server Models,46304.996814,0.01%,27.566488,5.02%,Medium difficulty to fill,-1.10%
Geoprocessing,16377.39526,0.00%,29.199403,1.89%,Low difficulty to fill,0.00%
User Analysis,43979.075529,0.00%,28.236897,4.90%,Medium difficulty to fill,12.50%
Family And Consumer Sciences,0,0.01%,32.254412,0.00%,Low difficulty to fill,-12.59%
Production Drawing,0,0.00%,27.698667,0.00%,Low difficulty to fill,0.00%
Customer Relationship Marketing,76630.184489,0.00%,27.724444,8.36%,High difficulty to fill,-16.46%
Hostile Work Environment,5271.58579,0.01%,31.734868,0.67%,Low difficulty to fill,-0.41%
Advertising Strategy,27807.351102,0.01%,29.710163,3.27%,Medium difficulty to fill,8.27%
Gitkraken,31039.537872,0.00%,27.903226,3.41%,Medium difficulty to fill,-33.33%
K-12 Education,2611.418798,0.00%,32.096253,0.33%,Low difficulty to fill,-5.66%
Validation Master Plan,41727.01055,0.00%,30.275956,5.01%,Medium difficulty to fill,-60.00%
Sputter Deposition,13114.643466,0.00%,30.410088,1.58%,Low difficulty to fill,-11.59%
Embedding,3481.776381,0.01%,29.695968,0.41%,Low difficulty to fill,2.33%
Spring Cloud Netflix,61616.117872,0.00%,17.825843,4.14%,Medium difficulty to fill,0.00%
Social Media Content Management,0,0.00%,31.143857,0.00%,Low difficulty to fill,2.04%
Emissions Inventory,27964.171106,0.00%,30.878671,3.43%,Medium difficulty to fill,-10.96%
Banking Software,2598.264225,0.01%,31.111309,0.32%,Low difficulty to fill,3.11%
CAD Programs,16686.020244,0.01%,29.829047,1.97%,Low difficulty to fill,-4.91%
Airfield Operations,9516.961991,0.00%,25.031368,0.93%,Low difficulty to fill,0.00%
Robotic Automation Software,27756.168892,0.00%,29.342606,3.22%,Medium difficulty to fill,9.33%
Legal Remedy,3492.447321,0.00%,31.533058,0.44%,Low difficulty to fill,0.00%
Gift Accounting,17965.238959,0.00%,33.519187,2.40%,Low difficulty to fill,0.00%
Modeling Languages,58711.412278,0.01%,27.992401,6.48%,High difficulty to fill,4.75%
Data Terminal Equipment,0,0.00%,29.176471,0.00%,Low difficulty to fill,-17.61%
Bronchial Hygiene,18593.744033,0.00%,28.479695,2.09%,Low difficulty to fill,1.19%
Publish Subscribe,66847.30401,0.00%,25.507063,6.67%,High difficulty to fill,2.74%
Legal Document Management,9005.905263,0.00%,27.509025,0.97%,Low difficulty to fill,-2.22%
Internal Storage,0,0.00%,30.45,0.00%,Low difficulty to fill,-26.92%
Welding Tips,0,0.00%,29.413636,0.00%,Low difficulty to fill,-9.68%
Bizagi,51582.962603,0.00%,24.953642,5.02%,Medium difficulty to fill,-50.00%
Internetworking,30216.983044,0.01%,28.597778,3.41%,Medium difficulty to fill,5.36%
Pelvic Floor Rehabilitation,26220.285948,0.01%,28.601706,2.96%,Medium difficulty to fill,0.40%
Layout Optimization,50465.660031,0.00%,29.858824,5.97%,High difficulty to fill,-41.41%
Business Blueprinting,74149.98311,0.00%,30.342753,8.92%,High difficulty to fill,-6.25%
Space Radiation,67450.345292,0.00%,28.96904,7.72%,High difficulty to fill,-24.44%
Marine Ecology,9871.644404,0.00%,30.531313,1.20%,Low difficulty to fill,-5.00%
Metamaterials,57315.76201,0.00%,30.841463,7.01%,High difficulty to fill,5.26%
Upper Endoscopies,43671.825677,0.00%,29.55914,5.11%,Medium difficulty to fill,1.52%
Health Care System,2801.022549,0.00%,29.582053,0.33%,Low difficulty to fill,3.59%
Resource-Based Relative Value Scale,34120.743145,0.00%,30.639736,4.15%,Medium difficulty to fill,-5.94%
Central Venous Access,20491.595767,0.00%,29.097693,2.36%,Low difficulty to fill,0.00%
2020 Design Software,0,0.00%,32.067436,0.00%,Low difficulty to fill,-3.77%
Forest Science,6297.290208,0.00%,31.22963,0.78%,Low difficulty to fill,10.35%
Throughput,45032.492039,0.00%,28.440735,5.05%,Medium difficulty to fill,-1.56%
Continuous Passive Motion Device,0,0.00%,29.109294,0.00%,Low difficulty to fill,-11.77%
Cloud Security Applications,86925.731803,0.00%,28.551502,9.79%,High difficulty to fill,4.76%
News Analysis,36396.250638,0.00%,31.560694,4.57%,Medium difficulty to fill,-22.86%
Content Repository,44646.82506,0.00%,27.115327,4.76%,Medium difficulty to fill,2.27%
Sustainment Logistics,49184.016893,0.00%,29.454545,5.73%,High difficulty to fill,-9.68%
Matrix Analysis,40876.297131,0.00%,29.647959,4.80%,Medium difficulty to fill,-27.27%
Capistrano (Software),53034.716303,0.00%,26.681452,5.55%,High difficulty to fill,-12.50%
Micropipettes,0,0.00%,32.026066,0.00%,Low difficulty to fill,-2.78%
Gastrectomy,53449.102388,0.00%,27.676471,5.82%,High difficulty to fill,0.00%
Triconex,60530.305478,0.00%,29.038251,6.94%,High difficulty to fill,0.00%
Bone Grafting,34733.894097,0.00%,31.83185,4.40%,Medium difficulty to fill,-2.89%
Chemical Libraries,11004.011898,0.00%,29.066225,1.26%,Low difficulty to fill,-10.00%
Nielsen SoundScan,0,0.00%,27.6,0.00%,Low difficulty to fill,-50.00%
Tree Surveying,0,0.00%,34.036842,0.00%,Low difficulty to fill,0.00%
Industrial Software,63207.929885,0.00%,27.537465,6.85%,High difficulty to fill,-13.29%
Direct Web Remoting (Java),32822.926761,0.00%,22.352941,2.83%,Medium difficulty to fill,-100.00%
HyperWorks (CAE Software),57302.754088,0.00%,27.584252,6.22%,High difficulty to fill,-4.76%
Radiation Oncology Physics,114240.516714,0.00%,30.557823,13.84%,High difficulty to fill,-5.88%
Congestion Management,35248.951472,0.00%,30.869811,4.32%,Medium difficulty to fill,2.00%
Template Matching,80607.237872,0.00%,26.875,8.51%,High difficulty to fill,0.00%
Franchise Disclosure Document,33554.137872,0.00%,32.122222,4.29%,Medium difficulty to fill,-14.29%
Show Control,1702.479048,0.00%,29.216058,0.20%,Low difficulty to fill,-3.45%
Cloud Forensics,77421.062262,0.00%,25.584746,7.75%,High difficulty to fill,25.00%
PostGIS,55409.127113,0.00%,28.142349,6.15%,High difficulty to fill,7.34%
Single Page Application,60018.045069,0.01%,25.757374,6.05%,High difficulty to fill,-9.83%
Multiple-Camera Production,3701.617564,0.00%,30.263743,0.44%,Low difficulty to fill,-4.05%
Reference Management Software,7004.655338,0.00%,31.73399,0.88%,Low difficulty to fill,2.30%
Revenue Sharing,30393.500386,0.00%,31.089325,3.75%,Medium difficulty to fill,14.82%
Behavioral Antecedent,0,0.00%,32.177009,0.00%,Low difficulty to fill,-1.69%
Antibody Tests,0,0.00%,30.005338,0.00%,Low difficulty to fill,-10.81%
Electronic Referrals,0,0.00%,30.914127,0.00%,Low difficulty to fill,-8.33%
Snubbing (Oil And Gas),3704.544045,0.00%,31.011299,0.46%,Low difficulty to fill,-7.41%
Technology Readiness Level,77514.466726,0.00%,27.770878,8.48%,High difficulty to fill,4.81%
Air Brush,0,0.00%,30.490803,0.00%,Low difficulty to fill,-9.48%
Processor Architecture,103644.087377,0.00%,28.465827,11.64%,High difficulty to fill,-3.85%
Crime Scene Reconstruction,4711.56459,0.00%,27,0.50%,Low difficulty to fill,10.00%
Protein Biosynthesis,19439.496205,0.00%,30.211679,2.33%,Low difficulty to fill,0.00%
Dilation And Curettage,35518.171205,0.00%,30.325843,4.27%,Medium difficulty to fill,-27.27%
Samsung Gear VR,111833.898983,0.00%,29.260274,12.94%,High difficulty to fill,0.00%
Dolby Digital,61901.399186,0.00%,28.356322,6.92%,High difficulty to fill,-20.00%
Merchant Bank,15836.657341,0.00%,32.040678,2.02%,Low difficulty to fill,0.00%
Molecular Biophysics,12891.943532,0.00%,31.865385,1.63%,Low difficulty to fill,0.00%
Community Reinvestment Act (CRA) Lending,41322.972831,0.00%,30.472973,4.99%,Medium difficulty to fill,-2.86%
Microprocessor Architecture,103010.805507,0.00%,27.539394,11.16%,High difficulty to fill,-9.09%
Steel Forms,0,0.00%,32.727273,0.00%,Low difficulty to fill,16.67%
Air Cargos,0,0.00%,31.508333,0.00%,Low difficulty to fill,6.25%
GStreamer,86871.270365,0.00%,27.030702,9.23%,High difficulty to fill,-26.92%
Health Information Systems Programs,52335.333327,0.00%,30.052632,6.23%,High difficulty to fill,0.00%
Cisco Intersight,60337.398983,0.00%,26.273381,6.21%,High difficulty to fill,-28.57%
Suitetalk,62554.871205,0.00%,27.110169,6.67%,High difficulty to fill,-25.00%
ControlUp,64323.761276,0.00%,27.470588,6.95%,High difficulty to fill,0.00%
App Data,46502.756899,0.00%,27.742616,5.08%,Medium difficulty to fill,-18.75%
ClinTrial,44533.593428,0.00%,31.5,5.57%,High difficulty to fill,-50.00%
Heart-Lung Machine,74764.336037,0.00%,31.744565,9.44%,High difficulty to fill,-2.44%
Bursitis,59564.037872,0.00%,31.623188,7.49%,High difficulty to fill,-18.18%
Paris Agreement,44898.089154,0.00%,27.693252,4.89%,Medium difficulty to fill,-4.54%
Tendinopathy,50514.830975,0.00%,28.060606,5.59%,High difficulty to fill,-13.64%
Information Display Systems,6715.886747,0.00%,30.977833,0.83%,Low difficulty to fill,-7.41%
GPT-3 (NLP Model),161150.92509,0.00%,29.919847,19.09%,High difficulty to fill,-19.23%
Active Directory Rights Management Services,84645.537872,0.00%,24.244444,7.99%,High difficulty to fill,-16.67%
