Skills_Label,Growth Category,Mid Scenario
Reshape2,,
Anti-Neutrophil Cytoplasmic Antibodies,,
Creaming (Food),,
WiFi Explorer,,
Courier Mail Servers,,
ML/I,,
Fluorine-19 NMR,,
Beyondcompare,,
Stock Funds,,
Loop Unrolling,,
Logistics Software LBASE,,
Windows Essential Business Server 2008,,
Steel Wire Armoured Cable,,
Lumension Security,,
Ito Calculus,,
Triangulation,,
Recurrence Quantification Analysis,,
EMCO MSI Package Builder,,
D-Bus (Application Layer Protocols),,
Arules,,
Object Constraint Language,,
Sqoop2,,
Internet Connection Sharing,,
Lunix,,
Distributed Lock Manager,,
Digital Multiplex Systems,,
CompactFlash,,
Low Voltage Pro,,
Automatic Repeat Request (ARQ),,
Censored Regression Model,,
Subbase,,
Glitz (Software),,
Microsoft Visual Programming Language,,
Local Shared Object (Flash),,
QBasic,,
Bitwise Operation,Lagging,-100.00%
Parasoft Concerto,,
Bagheli Language,,
Magicalrecord,,
Nitrous Oxide Systems (NOS),,
Pivot Point,,
Server Base System Architecture,,
Broadcast Address,,
Basic Direct Access Methods,,
Bing Maps,,
OpenStack,Growing,-0.71%
Git (Version Control System),Growing,-5.40%
Policy Development,Growing,-2.32%
Performance Management,Rapidly Growing,-2.63%
Content Management,Growing,4.91%
Bariatric Surgery,Growing,0.82%
SMTP (Simple Mail Transfer Protocol),Stable,1.31%
Infection Control,Growing,-0.78%
Registration,Rapidly Growing,-2.96%
Financial Forecasting,Growing,-4.03%
Venipuncture,Growing,0.40%
Customer Inquiries,Growing,1.29%
Incident Management,Growing,0.00%
Graphic Design,Growing,-3.79%
Product Roadmaps,Growing,7.12%
Utilization Management,Stable,-0.21%
Security Management,Rapidly Growing,-0.91%
Automotive Detailing,Lagging,-4.16%
Schema Markup,Lagging,0.39%
Showroom Displays,Stable,6.03%
Computer Science,Rapidly Growing,3.63%
Application Layers,Lagging,-2.40%
Specimen Processing,Growing,8.67%
Mailroom,Growing,-0.62%
Hospital Information Systems,Growing,-1.22%
Business Requirements,Rapidly Growing,1.98%
Corporate Security,Growing,0.15%
Electrical Construction,Growing,-4.02%
Search Engine Optimization,Growing,-76.17%
Tooling,Rapidly Growing,-3.92%
Precision Mechanics,Rapidly Growing,-6.67%
Neonatal Intensive Care Unit,Lagging,-15.54%
Proposal Strategy,Growing,4.81%
Cloud Access Security Broker Tools (CASBs),Lagging,-3.53%
Multitier Architecture,Stable,1.80%
Drug Development,Stable,6.28%
Risk Management,Stable,-9.37%
Audiovisual Equipment,Rapidly Growing,2.04%
Parsing,Stable,3.68%
Web Analytics,Growing,-0.48%
Category Strategy,Growing,5.86%
Snagit,Stable,-5.31%
User Acceptance Testing (UAT),Growing,2.68%
Pivot Tables And Charts,Growing,3.28%
Model View Controller,Growing,14.54%
Infrastructure as Code (IaC),Growing,0.02%
Medical Telemetry,Lagging,-4.77%
Tax Planning,Growing,-5.92%
Client Needs Assessment,Growing,3.65%
Information Sciences,Stable,6.57%
Photo Retouching,Lagging,-13.56%
Investment Decisions,Growing,-5.88%
Bug Tracking And Management,Lagging,-8.99%
Webforms,Lagging,-2.74%
Full-Cycle Recruitment,Stable,-8.34%
Global Positioning Systems,Growing,-3.39%
Air Distribution Systems,Lagging,-4.72%
Arbitrage Pricing Theories,,
Engine Replacement,Growing,-13.16%
Compositing,Lagging,-6.22%
VMware Virtualization,Lagging,1.79%
Sales Intelligence,Growing,1.67%
Air Pollution Control,Growing,3.77%
Hybrid Integration,Rapidly Growing,-64.29%
Operations Management,Rapidly Growing,-1.56%
Property Management,Growing,1.58%
Vendor Management,Growing,-2.49%
Corporate Accounting,Growing,-2.82%
Resource Allocation,Growing,-1.53%
Public Affairs,Stable,6.39%
Medical Records,Growing,-9.87%
Steam Turbine,Stable,-10.84%
Market Segmentation,Growing,-0.81%
Travel Reimbursements,Rapidly Growing,13.75%
Employee Onboarding,Rapidly Growing,-0.56%
Private Equity,Growing,-6.14%
Palliative Care,Lagging,-4.35%
Programming Tools,Growing,0.32%
Peer Review,Growing,-0.55%
Algebra,Growing,-5.34%
Hydrocleaning,Lagging,0.00%
Small Group Instruction,Growing,-7.20%
Applied Statistics,Lagging,0.23%
Patient Transfer,Growing,-7.25%
Brochures,Growing,-2.40%
Phone Sales,Stable,-1.50%
Back End (Software Engineering),Growing,1.21%
Snow Blowers,Growing,7.29%
Event Operations,,
Selendroid,Lagging,0.00%
Decision Support Systems,Stable,1.91%
Fixture Design,Stable,2.75%
Bond Credit Rating,Growing,-7.88%
Cardiac Surgery,Lagging,1.19%
G-Codes,Rapidly Growing,-7.19%
General Surgery,Growing,-1.56%
Analytical Testing,Growing,3.61%
Laboratory Procedures,Growing,-0.03%
Structural Engineering,Rapidly Growing,1.77%
Nuclear Power,Growing,-8.95%
Azure DevOps,Growing,-4.01%
Visualforce,Growing,-2.43%
Cloud Foundry,Stable,-2.64%
Clinical Laboratory Science,Growing,0.60%
Load Testing,Lagging,-7.03%
ISO 9000 Series,Growing,-0.76%
Electrical Safety In The Workplace (NFPA 70e),Growing,4.48%
Usability Testing,Growing,6.59%
Wire And Cable Pulling,Growing,-2.26%
Technology Roadmaps,Growing,7.80%
Wound Dressing,Growing,4.93%
Upskilling,Stable,4.27%
Cyber Engineering,Growing,-1.13%
Medical Orders For Life-Sustaining Treatments,Stable,1.75%
Health Informatics,Lagging,0.95%
Weapons Of Mass Destruction (WMD),Lagging,-1.95%
Angiography,Lagging,0.25%
Graphics Software,Growing,2.78%
Sisense,Growing,-19.05%
Rubric,Rapidly Growing,-18.64%
Meteorology,Growing,-4.42%
Pharmaceutical Manufacturing,Stable,0.00%
Personal Injury Law,Growing,-1.38%
Gene Silencing,Growing,-9.09%
National Industrial Security Program Operating Manual (NISPOM),Growing,-2.83%
IT Capacity Management,Growing,2.35%
First Aid Supply Management,Lagging,-0.24%
PowerBuilder,Growing,0.00%
Computer Performance,Growing,0.00%
Truth In Lending Act,Growing,4.45%
Browser Extension,Rapidly Growing,20.00%
Fisheries Science,Stable,1.69%
Business Efficiency,Stable,-5.61%
Roasting,Growing,-14.01%
Adaptive Equipment,Lagging,-2.55%
Blended Learning,Lagging,-5.67%
Hardness Tests,Lagging,2.65%
Nessus,Lagging,4.60%
Event Strategy,,
Landscape Architecture,Growing,1.15%
Clock Domain Crossing,Growing,11.91%
IBM Intelligent Printer Data Stream (Computer Printing),Growing,-100.00%
Clinical Informatics,Growing,-2.48%
Talent Planning,Growing,-3.16%
Audio Transcription,Lagging,-2.58%
Mohs Micrographic Surgery,Stable,5.42%
Enterprise Integration,Growing,3.42%
Data Ingestion,Growing,0.93%
Riot Control,Growing,5.63%
PuTTY (Application),Stable,2.73%
Color Correction,Lagging,-3.41%
Insurance Follow-Up,Lagging,-3.35%
Endpoint Engineering,Growing,10.29%
Spend Analysis,Stable,6.13%
Google Maps,Lagging,-38.98%
Data Structure Alignment,Stable,2.00%
Milliman Care Guidelines (MCG),Lagging,-8.75%
Matillion,Rapidly Growing,12.07%
Gherkin (Scripting Language),Growing,-4.49%
Brand Identity,Stable,-2.54%
Auditory Processing,Stable,-5.36%
Patient Benefits,Stable,-3.42%
Supervising Graduate Students,Growing,6.16%
Weatherization,Growing,2.21%
Financial Regulations,Lagging,-10.03%
Web Container,Lagging,-58.95%
Web Mapping,Growing,11.29%
Insulation Installation,Stable,0.00%
Search Advertising,Stable,-5.26%
3D Animation,Stable,-3.92%
Data Processing Systems,Lagging,2.26%
Hydraulic Engineering,Growing,4.48%
Performance-Enhancing Drugs,Rapidly Growing,-50.00%
Centrifugal Pumps,Lagging,-4.26%
Impedance Control,Stable,-7.69%
Business Method Patent,Stable,-0.73%
Backing Maneuvers,Stable,-1.20%
Cape Verdean Creole,Lagging,-1.39%
Water Line Installation,Growing,-4.76%
Medium Voltage Power Distribution,Stable,7.14%
TIBCO EMS,Growing,13.46%
Harmonized Systems,Lagging,-23.08%
Sphinx Documentation Generator,Rapidly Growing,7.14%
IBM OMEGAMON,Stable,4.17%
Data Transposition,Rapidly Growing,12.50%
Game Testing,Growing,3.57%
Family Systems Theory,Lagging,-8.60%
Mesoscale Meteorology,Rapidly Growing,33.33%
Google Workspace,Growing,-0.68%
Cable Installations,Stable,6.32%
IBM AIX,Stable,0.61%
Substance Abuse,Growing,-0.05%
Breast Surgery,Lagging,-2.79%
Demolition,Lagging,-0.03%
Cardiothoracic Surgery,Lagging,-6.17%
Welding,Growing,-4.23%
Microsoft Windows XP,Stable,-2.50%
Medical Science,Stable,-2.01%
Social Security,Growing,6.13%
Conversion Tracking,Growing,6.48%
Statistical Inference,Stable,-8.88%
Cancer,Growing,-3.06%
Retail Software,Stable,-7.14%
Laboratory Reports,Growing,6.14%
Corrosion Engineering,Growing,-6.35%
Schematic Diagrams,Lagging,0.46%
Supplemental Security Income,Growing,1.48%
Desktop Cloud Visualization (DCV),Growing,6.06%
Database Administration,Growing,-1.93%
Geography,Stable,-2.48%
Design Verification,Growing,9.60%
Drain Cleaning,Lagging,2.18%
Mathematical Modeling,Stable,5.56%
Illness Prevention,Growing,-1.80%
MIVA Script,Rapidly Growing,33.33%
Professional Writing,Growing,-5.47%
Residential Painting,Lagging,-4.41%
Product Planning,Stable,7.29%
Tariff,Growing,-10.42%
Perfusion,Growing,-1.01%
Construction Inspection,Growing,8.07%
Machine-Generated Data,Stable,0.00%
Wireless Security,Lagging,0.79%
SPIN Selling,Stable,7.14%
Semantic HTML,Growing,-3.45%
Data Import/Export,Growing,0.51%
Immunodeficiency,Lagging,2.06%
Fiscal Policies,Growing,2.36%
Instruction Delivery,Growing,-5.70%
Municipal Or Urban Engineering,Rapidly Growing,-4.15%
Autonomous Vehicles,Stable,1.04%
Contingent Workforce,Lagging,-1.70%
FactSet (Analytics Software),Stable,4.61%
Reduced Instruction Set Computing,Stable,4.35%
Nanoparticles,Stable,5.83%
Narcotic Counting,Growing,4.06%
Bank Runs,Lagging,-0.52%
Disaster Area,Stable,3.12%
Data Exchange,Lagging,4.39%
Online Advertising,Growing,-1.00%
Angina Pectoris,Growing,7.69%
Corporate Laws,Stable,-5.22%
Fact-Finding,Stable,3.51%
MariaDB,Growing,4.17%
Electronic News Production Systems,Lagging,-7.67%
Flocculation,Growing,-7.55%
Database Connection,Growing,8.33%
Life Safety Codes,Growing,4.29%
HVAC Repair And Maintenance,Lagging,-0.87%
Rapid7,Growing,11.11%
Internet Strategy,Growing,10.00%
Green Infrastructure,Lagging,-6.44%
Supplier Evaluation,Stable,-3.75%
Contrast Medium,Growing,-15.90%
SAP Sales And Distribution,Stable,2.06%
Netezza,Rapidly Growing,5.59%
Interactive Learning,Growing,10.53%
Fish Tape,Growing,0.00%
Divi WordPress Theme,Rapidly Growing,10.00%
Asbestos Awareness,Rapidly Growing,0.00%
Dynamic Content,Rapidly Growing,12.44%
African-American Studies,Lagging,-3.47%
Blister Packs,Lagging,-15.87%
Workforce Productivity,Growing,-1.14%
Contract Manufacturing,Stable,4.92%
Ecosystem Science,Lagging,1.11%
Oracle Hyperion Financial Management,Stable,0.00%
Cladding (Construction),Rapidly Growing,12.88%
Control Communications,Growing,0.86%
Notified Body,Growing,7.14%
Articulation,Stable,4.73%
Balance Sheet Analysis,Growing,3.08%
DRG (Diagnosis-Related Group) Assignment,Lagging,-10.47%
Account Adjustments,Growing,-0.65%
Alternative Technologies,Stable,-7.41%
Storage Area Network (SAN),Growing,-6.75%
Heading (Metalworking),Stable,-3.57%
Retargeting,Stable,-0.31%
Network Mapping,Lagging,-6.72%
Observational Techniques,Lagging,-2.78%
Docker Swarm,Lagging,-3.21%
Gasification,Growing,9.38%
Natural Process Variation,Growing,4.22%
Postdoctoral Research,Growing,3.68%
Variable Speed Drives,Lagging,-1.94%
Business Informatics,Rapidly Growing,8.33%
Protocol Implementation Conformance Statement,Lagging,-6.25%
Abaqus,Lagging,-1.88%
Color Management,Growing,2.38%
Solar Energy Systems Installation,Growing,0.28%
Protocol Analysis,Growing,1.80%
Behavioral Targeting,Lagging,-23.53%
Boarding School,Lagging,-7.00%
High Throughput Screening,,
Remote Data Entry,Growing,2.77%
Software Requirements Specification,Stable,-21.90%
Coffee Making,Lagging,-13.14%
Museum Collections Management,Growing,-2.10%
Nutraceuticals,Stable,0.00%
Session Description Protocol,Lagging,-4.54%
Human Intelligence,Lagging,-25.50%
Patent Prosecution,Lagging,-2.91%
Chain Conveyors,Growing,0.00%
Business Acquisition,Stable,4.76%
Network Interface Controllers,Lagging,-2.95%
Violin,Lagging,-7.41%
Needs Based Selling,Stable,4.95%
Political Philosophy,Growing,2.08%
Apache ActiveMQ,Rapidly Growing,-2.88%
Computational Statistics,Growing,5.07%
Fortran (Programming Language),Lagging,1.04%
JQuery UI,Growing,-9.00%
Article (Publishing),Stable,6.55%
Binary Ninja (Reverse Engineering Software),Rapidly Growing,5.26%
Anterior Chamber,Stable,-1.32%
Geospatial Analysis,Rapidly Growing,4.92%
Visual C++ (Programming Language),Lagging,-11.22%
Electromechanical Engineering,Growing,8.29%
Interim Management,Lagging,-39.56%
Android Studio,Lagging,-12.85%
Fiber Lasers,Rapidly Growing,11.25%
Apache HTTP Server,Lagging,0.46%
Spyware,Lagging,3.88%
Passive Optical Networks,Lagging,-8.17%
Validation Controls,Rapidly Growing,-11.11%
OpenCL,Growing,-20.00%
Das U-Boot,Growing,7.69%
Dell Servers,Stable,0.94%
Static Data,Growing,0.00%
Environmental Technology,Stable,6.18%
METAR,Growing,-19.05%
Software Asset Management,Growing,1.68%
AWS Inferentia,Rapidly Growing,-20.00%
International Purchasing,Growing,0.00%
National Markets,Lagging,-12.39%
Risa (Structural Engineering Software),Rapidly Growing,-5.99%
Executive Functions,Stable,-0.80%
ICloud,Rapidly Growing,35.90%
Oracle Workflow,Lagging,-16.98%
Small Business Loans,Stable,4.54%
Sendmail,Lagging,-21.62%
Sustainable Insurance,,
Analog Devices,Lagging,-10.92%
Shipment Routing,Growing,-3.70%
Elemental Analysis,Growing,13.64%
CAD Standards,Growing,5.94%
Integrated Mathematics,Growing,-20.00%
Gate Arrays,Growing,12.36%
HR Efficiency,,
Credit Derivatives,Lagging,-3.85%
Federal Income Tax,Stable,3.72%
Mobile Telephony,Lagging,-18.75%
Lithotripsy,Lagging,3.45%
5S Methodology,Lagging,-2.50%
Library Of Congress Subject Headings,Growing,5.17%
Special Hazard Fire Suppression,Lagging,-15.00%
Advantage Database Servers,Growing,0.00%
JAFAN,Lagging,-1.75%
Deposition Preparation,Growing,-2.29%
Pingfederate,Growing,-72.22%
Procedural Laws,Lagging,0.69%
Steam Trap,Stable,-4.85%
Mass Production,Growing,-3.23%
Financial Privacy,Rapidly Growing,-7.14%
Intrapulmonary Percussive Ventilator,Growing,-50.00%
Digital Architecture,Stable,-0.99%
Email Migration,Rapidly Growing,-100.00%
Data Redundancy,Growing,-1.14%
Aurora (Operating System),Growing,-5.56%
Website Monitoring,Growing,3.33%
Multiple Models,Growing,13.33%
Biomaterial,Growing,9.09%
JSON-RPC Protocol,Rapidly Growing,-31.25%
Circular Knitting,Lagging,-33.33%
Bluecoat Proxies,Growing,3.39%
AWS Auto Scaling,Rapidly Growing,-12.50%
Essay Writing,Lagging,-3.18%
Automated Optical Inspection,Rapidly Growing,-3.57%
Benefits Strategies,Growing,0.56%
OutSystems,Lagging,-15.62%
Cyberknife,Growing,-6.67%
Seed Preparation,Stable,-3.57%
Video Player,Growing,-13.04%
Daptiv PPM,Lagging,-100.00%
Wetland Assessment,Growing,-4.76%
Hotjar,Stable,-31.82%
Panvalet,Lagging,-21.13%
Electrical Measurements,Lagging,0.63%
System Console,Rapidly Growing,0.00%
Color Layout Descriptor,Growing,3.12%
Tree Stump Removal,Growing,4.00%
Sustainable Engineering,Growing,0.00%
Tower Modification,Rapidly Growing,-4.17%
Political Economy,Growing,1.72%
Chain Drive,Stable,-11.91%
Environmental Program Management,Growing,-15.91%
SAP Business Intelligence (BI),Lagging,-4.54%
Engineering Ethics,Lagging,-18.75%
Secondary Indexes,Rapidly Growing,50.00%
Exit Planning,Growing,3.23%
Relative Value Unit,Growing,-22.22%
Integer Programming,Growing,-14.29%
Computer-Aided Drug Design & Discovery,Growing,-4.17%
Textile Design,Lagging,-12.50%
Military Studies,Growing,-10.00%
FOUNDATION Fieldbus,Growing,-3.33%
Dassault Syst Mes DELMIA (Software),Stable,5.88%
3D Reconstruction,Growing,-4.35%
Advance Ship Notice,Growing,-12.82%
.NET Development,Stable,-4.54%
Transportation Systems Management,Rapidly Growing,-17.65%
Social Skills Instruction,Rapidly Growing,-8.82%
TIBCO BusinessEvents,Growing,12.50%
Liposuction,Growing,-5.88%
Psychometry,Lagging,-18.18%
Dataweave,Growing,-1.79%
Iges,Rapidly Growing,-22.22%
Autonomous Underwater Vehicle,Lagging,-22.22%
Publishing Site,Lagging,-20.00%
Multispectral Image,Rapidly Growing,0.00%
Iostat,Rapidly Growing,4.76%
Concussion Management,Rapidly Growing,-1.10%
Scenario Testing,Lagging,-5.76%
FindBugs,Rapidly Growing,-9.09%
Gap Analysis,Growing,4.27%
Project Cycle Management,Stable,2.93%
Injury Prevention,Stable,3.52%
Electronic Hardware,Growing,8.91%
Network Management System,Growing,-9.20%
Loss Mitigation,Lagging,-0.20%
FIS GetPaid (Accounts Receivable Software),Rapidly Growing,21.74%
Electric Current,Growing,3.33%
Controlled Image Base,Growing,0.00%
Multiple Inheritance,Lagging,-61.77%
Hyperion Smartview,Rapidly Growing,15.69%
Legal Strategy,,
Web.xml,Rapidly Growing,-100.00%
Patent Infringement,Lagging,-24.77%
Digital Audio,Stable,-1.75%
Software Testing Life Cycle,Stable,-6.82%
Wetland Management,Growing,-5.56%
Prosecution,Lagging,-4.35%
Flight Safety,Stable,-3.10%
PlanSwift (Takeoff Software),Lagging,-1.74%
ArtiosCAD,Lagging,-4.76%
Behavioral Health Interventions,Lagging,2.26%
Arquillian (Software),,
Developmental History,Stable,-10.67%
Cable Sizing,Stable,1.66%
Game Art,Growing,2.91%
Prostatectomy,Rapidly Growing,-14.89%
Data Consistency,Lagging,2.71%
Gene Therapy,Growing,5.95%
Impedance Matching,Growing,14.54%
Film Studies,Lagging,-2.35%
History Of Science,Rapidly Growing,4.54%
Comparative Genomics,Rapidly Growing,4.76%
Prophix (Software),Growing,-10.00%
Atrial Flutter,Growing,-2.70%
Java Applet,Growing,0.00%
Automated Machine Learning,Rapidly Growing,4.76%
Marshallese Language,Lagging,-21.74%
Voir Dire,Stable,0.00%
Tunnels,Lagging,-21.62%
Machine Learning Model Training,Rapidly Growing,-4.86%
Website Deployment,Lagging,-9.52%
Sidra Intersection,Stable,-7.14%
Board Bring-Up,Growing,6.92%
Theraplay,Stable,-14.29%
Educational Outreach,Stable,5.54%
Ranorex,Stable,-16.28%
Dairy Farming,Lagging,-11.77%
Donut Chart,Lagging,0.00%
Statsd,Lagging,-69.23%
Electronic Customer Relationship Management (ECRM),Rapidly Growing,-60.87%
Keyhole Markup Language,Growing,1.43%
Title Evidence,Stable,-26.32%
Analgesics,Stable,-0.61%
Yandex,Rapidly Growing,50.00%
Sales Automation Software,Growing,-26.67%
Suitability Analysis,Stable,-100.00%
Silk Performer,Rapidly Growing,0.00%
Caprine And Ovine Care,Stable,-3.12%
Design Technology,Rapidly Growing,-8.06%
Umbraco,Stable,-23.97%
Drill Cuttings,Rapidly Growing,11.77%
Connected Components,Rapidly Growing,0.00%
Berber Language,Growing,-30.00%
Unified Computing,Lagging,-11.54%
Non-Directional Beacon,Growing,-21.21%
SAP Financial Management,Lagging,-19.12%
Glass Painting,Lagging,-8.33%
Comparative Law,Growing,5.26%
Malignant Hyperthermia,Growing,-8.06%
Lighting Fixture,Rapidly Growing,-50.00%
Spectral Analysis,Lagging,-7.69%
Shona Language,Rapidly Growing,-100.00%
Physical Assessment Techniques,Rapidly Growing,0.00%
Knowledge Discovery,Growing,1.01%
Combination Inspection,Stable,0.00%
IPython (Python Package),Rapidly Growing,-50.00%
Final Expense Insurance,Growing,-23.53%
Schema.org,Lagging,-25.00%
Function Points,Lagging,-100.00%
Lex (Software),Stable,-0.69%
File Monitoring,Rapidly Growing,18.75%
Computer System Validation,Lagging,1.23%
Hardware Platform Interface,Growing,-14.13%
Syndicated Finance,Lagging,-4.31%
CNSSI 1253,Rapidly Growing,-0.64%
Nonlinear Programming,Stable,5.88%
Intrinsic Safety,Growing,4.54%
Relational Model,Growing,9.52%
Knowledge-Centered Service,Stable,1.96%
WS-Security,Lagging,-10.71%
Oil Platforms,Lagging,-5.88%
Immunochemistry,Lagging,-47.06%
Radio Advertisement,Growing,1.04%
Risk-Based Inspection,Growing,-6.67%
Apartment Management Laws,Lagging,-12.50%
Network Protocol Analysis,Lagging,-17.46%
Structural Geology,Growing,0.00%
Thermogravimetric Analysis,Growing,0.00%
Lithuanian Language,Lagging,-27.59%
Dynamic Loading,Rapidly Growing,0.00%
Virtual Device,Growing,0.00%
Smart Glasses,Rapidly Growing,0.00%
Nucleic Acid Analysis,Rapidly Growing,14.29%
Executive Compensation Strategy,,
Sustainable Technologies,Growing,-13.70%
Dual Sim,Lagging,-50.00%
National Motor Freight Classification,Growing,0.00%
Dairy Science,Stable,-2.99%
Small Business Software,Rapidly Growing,200.00%
