Occupation,Skill_Name,Frequency_in_the_market
Bike Technician,Standard Operating Procedure,23.49%
Bilingual / ESL / Foreign Language Teacher,Teaching,60.84%
Bilingual / ESL / Foreign Language Teacher,Spanish Language,42.47%
Bilingual / ESL / Foreign Language Teacher,Communication,38.17%
Bilingual / ESL / Foreign Language Teacher,English Language,28.23%
Bilingual / ESL / Foreign Language Teacher,Teaching Certificate,27.91%
Bilingual / ESL / Foreign Language Teacher,Lesson Planning,22.69%
Bilingual / ESL / Foreign Language Teacher,Writing,20.97%
Bilingual / ESL / Foreign Language Teacher,Multilingualism,17.68%
Bilingual / ESL / Foreign Language Teacher,Planning,15.95%
Bilingual / ESL / Foreign Language Teacher,Interpersonal Communications,13.55%
Bill and Account Collector,Collections,72.41%
Bill and Account Collector,Communication,41.69%
Bill and Account Collector,Customer Service,40.60%
Bill and Account Collector,Management,27.64%
Bill and Account Collector,Detail Oriented,24.83%
Bill and Account Collector,Billing,23.97%
Bill and Account Collector,Accounts Receivable,22.50%
Bill and Account Collector,Problem Solving,18.91%
Bill and Account Collector,Microsoft Excel,18.89%
Bill and Account Collector,Sales,15.78%
Billing Clerk / Specialist,Billing,80.29%
Billing Clerk / Specialist,Communication,43.76%
Billing Clerk / Specialist,Invoicing,40.11%
Billing Clerk / Specialist,Detail Oriented,39.00%
Billing Clerk / Specialist,Accounting,33.19%
Billing Clerk / Specialist,Customer Service,31.31%
Billing Clerk / Specialist,Collections,31.28%
Billing Clerk / Specialist,Accounts Receivable,28.85%
Billing Clerk / Specialist,Microsoft Excel,27.35%
Billing Clerk / Specialist,Management,25.78%
Biochemist,Biochemistry,86.70%
Biochemist,Research,58.15%
Biochemist,Chemistry,49.63%
Biochemist,Biology,40.54%
Biochemist,Communication,34.18%
Biochemist,Molecular Biology,29.78%
Biochemist,Teaching,20.69%
Biochemist,Biochemical Assays,20.41%
Biochemist,Biophysics,19.48%
Biochemist,Detail Oriented,15.82%
Biological Technician,Biology,38.94%
Biological Technician,Communication,29.49%
Biological Technician,Research,23.62%
Biological Technician,Management,22.05%
Biological Technician,Microbiology,17.48%
Biological Technician,Detail Oriented,16.79%
Biological Technician,Operations,16.60%
Biological Technician,Quality Control,15.95%
Biological Technician,Valid Driver's License,15.08%
Biological Technician,Chemistry,13.37%
Biologist,Biology,57.24%
Biologist,Research,49.59%
Biologist,Communication,37.32%
Biologist,Molecular Biology,23.44%
Biologist,Management,21.78%
Biologist,Writing,18.66%
Biologist,Biochemistry,16.98%
Biologist,Cell Biology,16.32%
Biologist,Data Analysis,16.18%
Biologist,Biochemical Assays,15.16%
Biology Professor,Teaching,84.43%
Biology Professor,Biology,63.86%
Biology Professor,Communication,25.22%
Biology Professor,Microbiology,23.99%
Biology Professor,Research,23.67%
Biology Professor,Anatomy,20.89%
Biology Professor,Physiology,20.61%
Biology Professor,Writing,18.35%
Biology Professor,Student Engagement,15.93%
Biology Professor,Syllabus Development,13.94%
Biomedical Engineer,Biomedical Engineering,47.23%
Biomedical Engineer,Communication,38.61%
Biomedical Engineer,Research,36.35%
Biomedical Engineer,Management,29.13%
Biomedical Engineer,Medical Devices,21.54%
Biomedical Engineer,Troubleshooting (Problem Solving),19.76%
Biomedical Engineer,Customer Service,16.75%
Biomedical Engineer,Problem Solving,16.53%
Biomedical Engineer,Operations,16.37%
Biomedical Engineer,Leadership,16.21%
Biomedical Equipment Technician,Communication,35.08%
Biomedical Equipment Technician,Customer Service,34.51%
Biomedical Equipment Technician,Valid Driver's License,33.35%
Biomedical Equipment Technician,Troubleshooting (Problem Solving),29.39%
Biomedical Equipment Technician,Management,22.34%
Biomedical Equipment Technician,Medical Devices,19.43%
Biomedical Equipment Technician,Test Equipment,18.96%
Biomedical Equipment Technician,Lifting Ability,18.36%
Biomedical Equipment Technician,Electronics,17.13%
Biomedical Equipment Technician,Operations,16.35%
Biostatistician,Research,54.77%
Biostatistician,Biostatistics,52.14%
Biostatistician,R (Programming Language),46.53%
Biostatistician,Data Analysis,42.89%
Biostatistician,Communication,38.19%
Biostatistician,SAS (Software),37.40%
Biostatistician,Statistical Analysis,36.27%
Biostatistician,Clinical Trials,34.74%
Biostatistician,Python (Programming Language),31.06%
Biostatistician,Management,28.66%
Blacksmith / Forge Worker,Operations,24.39%
Blacksmith / Forge Worker,Structural Steel,20.43%
Blacksmith / Forge Worker,Communication,18.60%
Blacksmith / Forge Worker,Hand Tools,17.38%
Blacksmith / Forge Worker,Tooling,14.94%
Blacksmith / Forge Worker,Leadership,14.94%
Blacksmith / Forge Worker,Hoisting,14.63%
Blacksmith / Forge Worker,Forging,14.33%
Blacksmith / Forge Worker,Power Tool Operation,14.02%
Blacksmith / Forge Worker,Coordinating,12.20%
Blacksmith / Forge Worker,Forklift Truck,12.20%
Board Member,Communication,38.76%
Board Member,Leadership,32.86%
Board Member,Management,27.93%
Board Member,Research,25.91%
Board Member,Operations,18.22%
Board Member,Planning,16.80%
Board Member,Strategic Planning,16.28%
Board Member,Coordinating,14.94%
Board Member,Writing,14.86%
Board Member,Fundraising,14.41%
Boilermaker,Boilers,82.09%
Boilermaker,Valves (Piping),39.91%
Boilermaker,Communication,29.57%
Boilermaker,Troubleshooting (Problem Solving),29.19%
Boilermaker,Hand Tools,28.91%
Boilermaker,Pressure Vessel,28.44%
Boilermaker,Power Tool Operation,28.15%
Boilermaker,Valid Driver's License,27.77%
Boilermaker,Welding,22.75%
Boilermaker,Machinery,22.75%
Bookkeeper / Accounting Clerk,Accounting,63.02%
Bookkeeper / Accounting Clerk,Accounts Payable,51.53%
Bookkeeper / Accounting Clerk,Invoicing,50.29%
Bookkeeper / Accounting Clerk,Detail Oriented,41.64%
Bookkeeper / Accounting Clerk,Accounts Receivable,41.42%
Bookkeeper / Accounting Clerk,Communication,36.13%
Bookkeeper / Accounting Clerk,Bookkeeping,32.46%
Bookkeeper / Accounting Clerk,Microsoft Excel,28.80%
Bookkeeper / Accounting Clerk,Finance,22.76%
Bookkeeper / Accounting Clerk,Financial Statements,22.30%
Brick / Stone Mason,Masonry,34.33%
Brick / Stone Mason,Valid Driver's License,16.66%
Brick / Stone Mason,Communication,13.70%
Brick / Stone Mason,Lifting Ability,10.08%
Brick / Stone Mason,Power Tool Operation,9.74%
Brick / Stone Mason,Construction,9.59%
Brick / Stone Mason,Detail Oriented,9.16%
Brick / Stone Mason,Hand Tools,8.46%
Brick / Stone Mason,Customer Service,8.04%
Brick / Stone Mason,Operations,7.23%
Broadcast Technician,Communication,46.53%
Broadcast Technician,Operations,38.38%
Broadcast Technician,Troubleshooting (Problem Solving),34.66%
Broadcast Technician,Detail Oriented,25.58%
Broadcast Technician,Management,19.07%
Broadcast Technician,Automation,15.71%
Broadcast Technician,Valid Driver's License,15.59%
Broadcast Technician,Lifting Ability,13.19%
Broadcast Technician,Problem Solving,12.67%
Broadcast Technician,Computer Literacy,12.52%
Brokerage Clerk,Communication,38.09%
Brokerage Clerk,Brokerage,31.77%
Brokerage Clerk,Sales,27.53%
Brokerage Clerk,Detail Oriented,25.54%
Brokerage Clerk,Operations,23.92%
Brokerage Clerk,Customer Service,23.10%
Brokerage Clerk,Management,22.29%
Brokerage Clerk,Microsoft Office,17.33%
Brokerage Clerk,Financial Services,13.81%
Brokerage Clerk,Problem Solving,13.63%
Budget Analyst,Budget Analysis,64.56%
Budget Analyst,Budgeting,63.50%
Budget Analyst,Management,54.87%
Budget Analyst,Accounting,52.56%
Budget Analyst,Finance,44.11%
Budget Analyst,Planning,37.12%
Budget Analyst,Communication,31.66%
Budget Analyst,Financial Management,27.33%
Budget Analyst,Forecasting,27.05%
Budget Analyst,Microsoft Excel,25.87%
Building and General Maintenance Technician,Plumbing,39.08%
Building and General Maintenance Technician,Troubleshooting (Problem Solving),35.39%
Building and General Maintenance Technician,Valid Driver's License,29.65%
Building and General Maintenance Technician,HVAC,29.31%
Building and General Maintenance Technician,Communication,27.77%
Building and General Maintenance Technician,Carpentry,26.06%
Building and General Maintenance Technician,Painting,24.59%
Building and General Maintenance Technician,Preventive Maintenance,23.27%
Building and General Maintenance Technician,Customer Service,21.41%
Building and General Maintenance Technician,Operations,18.17%
Bus Driver,Valid Driver's License,33.60%
Bus Driver,Pre-Trip And Post-Trip Vehicle Inspections,25.05%
Bus Driver,Communication,23.60%
Bus Driver,Commercial Driver's License (CDL),23.57%
Bus Driver,Passenger Endorsement,21.50%
Bus Driver,Good Driving Record,19.98%
Bus Driver,Customer Service,15.33%
Bus Driver,Vehicle Maintenance,12.08%
Bus Driver,School Bus Endorsement,11.87%
Bus Driver,CDL Class B License,11.61%
Business / Management Analyst,Communication,47.59%
Business / Management Analyst,Management,42.87%
Business / Management Analyst,Leadership,29.14%
Business / Management Analyst,Project Management,27.78%
Business / Management Analyst,Problem Solving,27.71%
Business / Management Analyst,Operations,26.13%
Business / Management Analyst,Planning,24.60%
Business / Management Analyst,Microsoft Excel,22.52%
Business / Management Analyst,Data Analysis,22.10%
Business / Management Analyst,Presentations,20.32%
Business Continuity Planner / Analyst,Business Continuity,82.07%
Business Continuity Planner / Analyst,Business Continuity Planning,68.13%
Business Continuity Planner / Analyst,Communication,54.98%
Business Continuity Planner / Analyst,Planning,54.58%
Business Continuity Planner / Analyst,Disaster Recovery,50.80%
Business Continuity Planner / Analyst,Management,46.41%
Business Continuity Planner / Analyst,Operations,43.23%
Business Continuity Planner / Analyst,Leadership,37.05%
Business Continuity Planner / Analyst,Risk Management,33.47%
Business Continuity Planner / Analyst,Resilience,33.27%
Business Development / Sales Manager,Sales,84.55%
Business Development / Sales Manager,Communication,50.47%
Business Development / Sales Manager,Management,43.60%
Business Development / Sales Manager,Marketing,38.62%
Business Development / Sales Manager,Customer Service,37.99%
Business Development / Sales Manager,Leadership,37.63%
Business Development / Sales Manager,Sales Management,33.17%
Business Development / Sales Manager,Selling Techniques,32.10%
Business Development / Sales Manager,Business Development,27.21%
Business Development / Sales Manager,Presentations,25.29%
Business Intelligence Analyst,Communication,38.85%
Business Intelligence Analyst,SAP Applications,37.96%
Business Intelligence Analyst,Management,31.27%
Business Intelligence Analyst,Business Process,29.43%
Business Intelligence Analyst,Business Requirements,26.71%
Business Intelligence Analyst,Problem Solving,23.18%
Business Intelligence Analyst,Consulting,20.86%
Business Intelligence Analyst,Finance,20.81%
Business Intelligence Analyst,Computer Science,18.71%
Business Intelligence Analyst,Planning,18.50%
Business Intelligence Architect / Developer,SQL (Programming Language),36.89%
Business Intelligence Architect / Developer,Communication,36.13%
Business Intelligence Architect / Developer,Computer Science,33.18%
Business Intelligence Architect / Developer,Salesforce,30.06%
Business Intelligence Architect / Developer,Business Intelligence,27.48%
Business Intelligence Architect / Developer,Problem Solving,24.55%
Business Intelligence Architect / Developer,Dashboard,24.43%
Business Intelligence Architect / Developer,Business Requirements,24.35%
Business Intelligence Architect / Developer,Data Modeling,23.94%
Business Intelligence Architect / Developer,Troubleshooting (Problem Solving),23.26%
Business Professor,Teaching,77.22%
Business Professor,Management,40.64%
Business Professor,Communication,28.39%
Business Professor,Finance,20.18%
Business Professor,Marketing,19.84%
Business Professor,Research,18.22%
Business Professor,Leadership,18.02%
Business Professor,Business Administration,18.01%
Business Professor,Accounting,17.40%
Business Professor,Writing,15.90%
Busser / Banquet Worker / Cafeteria Attendant,Food Services,51.05%
Busser / Banquet Worker / Cafeteria Attendant,Customer Service,37.75%
Busser / Banquet Worker / Cafeteria Attendant,Sanitation,33.96%
Busser / Banquet Worker / Cafeteria Attendant,Food Safety And Sanitation,28.67%
Busser / Banquet Worker / Cafeteria Attendant,Cleanliness,28.15%
Busser / Banquet Worker / Cafeteria Attendant,Communication,22.86%
Busser / Banquet Worker / Cafeteria Attendant,Restaurant Operation,19.97%
Busser / Banquet Worker / Cafeteria Attendant,Management,16.87%
Busser / Banquet Worker / Cafeteria Attendant,Food Preparation,14.35%
Busser / Banquet Worker / Cafeteria Attendant,Detail Oriented,13.08%
Butcher / Meat Cutter,Meat Cutting,85.56%
Butcher / Meat Cutter,Customer Service,52.51%
Butcher / Meat Cutter,Sanitation,50.99%
Butcher / Meat Cutter,Meat Products,46.22%
Butcher / Meat Cutter,Merchandising,44.26%
Butcher / Meat Cutter,Sales,41.12%
Butcher / Meat Cutter,Food Safety And Sanitation,36.17%
Butcher / Meat Cutter,Communication,34.95%
Butcher / Meat Cutter,Grinding,28.32%
Butcher / Meat Cutter,Packaging And Labeling,25.08%
Buyer / Purchasing Agent,Purchasing,66.71%
Buyer / Purchasing Agent,Procurement,58.48%
Buyer / Purchasing Agent,Communication,46.71%
Buyer / Purchasing Agent,Management,34.28%
Buyer / Purchasing Agent,Negotiation,33.28%
Buyer / Purchasing Agent,Microsoft Excel,29.00%
Buyer / Purchasing Agent,Supply Chain,25.32%
Buyer / Purchasing Agent,Microsoft Office,23.64%
Buyer / Purchasing Agent,Detail Oriented,23.33%
Buyer / Purchasing Agent,Operations,22.59%
Cabinetmaker / Installer,Cabinetry,58.19%
Cabinetmaker / Installer,Detail Oriented,25.89%
Cabinetmaker / Installer,Woodworking,23.61%
Cabinetmaker / Installer,Carpentry,21.59%
Cabinetmaker / Installer,Communication,20.02%
Cabinetmaker / Installer,Valid Driver's License,17.56%
Cabinetmaker / Installer,Hand Tools,16.83%
Cabinetmaker / Installer,Power Tool Operation,16.59%
Cabinetmaker / Installer,Lifting Ability,14.17%
Cabinetmaker / Installer,Construction,13.55%
Cable Technician / Installer,Valid Driver's License,41.61%
Cable Technician / Installer,Troubleshooting (Problem Solving),41.08%
Cable Technician / Installer,Telecommunications,28.30%
Cable Technician / Installer,Communication,26.16%
Cable Technician / Installer,Low Voltage,24.48%
Cable Technician / Installer,Fiber Optics,20.92%
Cable Technician / Installer,Fiber Optic Cable,20.70%
Cable Technician / Installer,Splicing,20.61%
Cable Technician / Installer,Lifting Ability,20.34%
Cable Technician / Installer,Category 5 Cabling,19.95%
CAD Designer / Drafter,Computer-Aided Design,65.25%
CAD Designer / Drafter,AutoCAD,59.43%
CAD Designer / Drafter,Communication,32.30%
CAD Designer / Drafter,Detail Oriented,27.45%
CAD Designer / Drafter,SolidWorks (CAD),22.22%
CAD Designer / Drafter,Autodesk Revit,20.25%
CAD Designer / Drafter,3D Modeling,19.44%
CAD Designer / Drafter,Project Management,17.84%
CAD Designer / Drafter,Microsoft Office,17.51%
CAD Designer / Drafter,Problem Solving,15.30%
Call Center Manager,Call Center Experience,67.37%
Call Center Manager,Customer Service,62.41%
Call Center Manager,Operations,49.56%
Call Center Manager,Management,46.25%
Call Center Manager,Communication,45.50%
Call Center Manager,Leadership,42.82%
Call Center Manager,Coaching,30.45%
Call Center Manager,Problem Solving,24.89%
Call Center Manager,Sales,23.26%
Call Center Manager,Microsoft Office,18.56%
Cancer Registrar,Cancer Registry,68.33%
Cancer Registrar,Certified Tumor Registrar,50.56%
Cancer Registrar,Oncology,46.67%
Cancer Registrar,Medical Records,35.28%
Cancer Registrar,Medical Terminology,30.28%
Cancer Registrar,Certified Outpatient Coder (COC),30.28%
